protein_id,Checked,Master,Description,Coverage,Peptides,PSMs,AAs,Modifications,Abundance_Ratio_Pani_Winter_Summer,Abundance_Ratio_Sorg_Winter_Summer,pval_Pani_Winter_Summer,pval_Sorg_Winter_Summer,adj_pval_Pani_Winter_Summer,adj_pval_Sorg_Winter_Summer,Abundance_Grouped_Pani_Summer,Abundance_Grouped_Pani_Winter,Abundance_Grouped_Sorg_Summer,Abundance_Grouped_Sorg_Winter,Abundance_Grouped_CV_Pani_Summer,Abundance_Grouped_CV_Pani_Winter,Abundance_Grouped_CV_Sorg_Summer,Abundance_Grouped_CV_Sorg_Winter,Protein_FDR_Confidence_Combined,Exp_q_value_Combined,Sum_PEP_Score,Unique_Peptides,MW_kDa,calc_pI,Score_Sequest_HT_Sequest_HT,Peptides_by_Search_Engine_Sequest_HT,Razor_Peptides,Abundance_PV-RB-1_Summer,Abundance_PV-RB-2_Summer,Abundance_PV-RB-3_Summer,Abundance_PV-RB-1_Winter,Abundance_PV-RB-2_Winter,Abundance_PV-RB-3_Winter,Abundance_Sn-1_Summer,Abundance_Sn-2_Summer,Abundance_Sn-1_Winter,Abundance_Sn-2_Winter,Abundances_Normalized_PV-RB-1_Summer,Abundances_Normalized_PV-RB-2_Summer,Abundances_Normalized_PV-RB-3_Summer,Abundances_Normalized_PV-RB-1_Winter,Abundances_Normalized_PV-RB-2_Winter,Abundances_Normalized_PV-RB-3_Winter,Abundances_Normalized_Sn-1_Summer,Abundances_Normalized_Sn-2_Summer,Abundances_Normalized_Sn-1_Winter,Abundances_Normalized_Sn-2_Winter,Found_in_Sample_S49_PV-RB-1_Summer,Found_in_Sample_S52_PV-RB-2_Summer,Found_in_Sample_S55_PV-RB-3_Summer,Found_in_Sample_S48_PV-RB-1_Winter,Found_in_Sample_S51_PV-RB-2_Winter,Found_in_Sample_S54_PV-RB-3_Winter,Found_in_Sample_S58_Sn-1_Summer,Found_in_Sample_S61_Sn-2_Summer,Found_in_Sample_S57_Sn-1_Winter,Found_in_Sample_S60_Sn-2_Winter,Protein_Groups
Sn00001aa083888_T001,TRUE,Master Protein,Sn00001aa083888_T001,4,2,3,508,NA,0.81,0.458,0.826609691394361,NA,1,NA,179.2,145.2,80.9,37,14.5,12.99,NA,NA,High,0,7.46,2,57.1,7.5,10.72,2,0,41,25.8,59.3,21.6,45.4,0,35.8,0,6.3,0,87.8,75.1,100.6,64.9,78,0,39.6,0,18.1,0,High,High,High,High,High,Not Found,High,Not Found,High,Not Found,1
Sn00001aa056522_T001,TRUE,Master Protein,Sn00001aa056522_T001,8,2,2,447,NA,0.849,1.258,0.99992277841497,0.963794948698379,1,1,112.6,95.6,113.7,143,10.23,42.4,4.36,5.04,High,0,4.728,2,50.1,5.38,6.08,2,0,21,13.9,21.6,11.2,20,5.5,35.8,3.3,18.5,4.5,45,40.5,36.6,33.6,34.4,67,39.6,42.1,53.3,49.6,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa002073_T001,TRUE,Master Protein,Sn00001aa002073_T001,11,3,6,335,NA,0.741,0.872,0.999577802325293,NA,1,NA,67.7,50.2,163.4,142.4,36.96,64.31,NA,16.24,High,0,15.455,3,36.5,5.3,18.53,3,0,8.7,2.9,9.7,3.3,7.1,2.5,35.9,0,13.5,2.8,18.6,8.4,16.5,9.9,12.2,30.5,39.7,0,38.9,30.9,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa042555_T001,TRUE,Master Protein,Sn00001aa042555_T001,29,3,3,157,NA,0.783,1.232,0.465714427287471,NA,1,NA,177.5,138.9,52.4,64.6,14.85,31.87,NA,11.22,High,0,6.964,1,17.6,11.12,9.84,3,0,66.7,46.2,62.8,38.6,61.3,4.9,35.9,0,18.4,4.1,142.8,134.5,106.5,115.9,105.3,59.7,39.7,0,53,45.2,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa073961_T001,TRUE,Master Protein,Sn00001aa073961_T001,7,2,2,531,NA,1.8,0.95,0.152574656467806,NA,0.841168453036175,NA,109.9,197.9,65.4,62.2,18.49,37.42,4.16,NA,High,0,6.278,2,60.2,9,7.18,2,0,32.1,30.4,36.9,41.2,63.8,17.4,35.9,3.3,13.5,0,68.7,88.5,62.6,123.7,109.6,212.1,39.7,42.1,38.9,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa030751_T001,TRUE,Master Protein,Sn00001aa030751_T001,5,2,3,394,NA,0.792,1.31,0.967726532505224,NA,1,NA,108.9,86.2,106.6,139.6,17.32,33.29,15.4,NA,High,0.001,3.342,2,43.3,6.92,8.5,2,0,17.2,12.5,15.7,12.2,13.2,0,35.9,2.5,16.2,0,36.8,36.4,26.6,36.6,22.7,0,39.7,31.9,46.6,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa079187_T002,TRUE,Master Protein,Sn00001aa079187_T002,35,22,54,808,NA,0.724,0.877,0.162916123411475,NA,0.867978858861767,NA,174.2,126.2,81.9,71.9,11.38,28.52,NA,0.87,High,0,105.636,4,89.4,5.54,173.01,22,0,39.7,28.5,59.9,20.5,41.1,3.2,36.1,0,12.1,3.2,85,83,101.6,61.6,70.6,39,39.9,0,34.8,35.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa012905_T001,TRUE,Master Protein,Sn00001aa012905_T001,20,7,14,527,NA,0.989,1.069,0.999839202562386,0.999833731232283,1,1,67.2,66.4,150,160.3,13.44,47.43,3.94,34.5,High,0,38.32,1,58.4,6.1,49.51,7,0,8.4,4.8,10.4,4.1,14.4,0,36.6,3,11.4,4.9,18,14,17.6,12.3,24.7,0,40.5,38.3,32.8,54,High,High,High,High,High,Not Found,High,High,High,High,1
Sn00001aa039316_T001,TRUE,Master Protein,Sn00001aa039316_T001,6,2,3,336,NA,0.91,1.155,0.997977715750702,0.976620090805623,1,1,143,130.2,97.6,112.8,8.5,32.41,12.74,15.82,High,0.001,3.721,1,37.5,5.08,8.25,2,0,33.6,20.9,38.3,19.7,34.4,8.2,36.6,3.8,15.9,5.2,71.9,60.9,65,59.2,59.1,99.9,40.5,48.5,45.8,57.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa079233_T001,TRUE,Master Protein,Sn00001aa079233_T001,4,5,6,1051,NA,0.73,2.038,0.358743644904592,0.00958838286653851,1,0.0973009386293397,185.4,135.3,34.4,70.1,17.84,10.92,3.57,7.94,High,0,14.356,1,117.3,5.39,17.66,5,0,111.3,78.4,99.3,59,97,11.7,37.3,3.4,31.7,7.4,238.3,228.3,168.4,177.2,166.6,142.6,41.3,43.4,91.3,81.6,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa012633_T006,TRUE,Master Protein,Sn00001aa012633_T006,11,3,4,552,NA,0.978,1.065,0.999940784870157,0.994427153247486,1,1,147.4,144.3,87.5,93.2,13.8,5.71,2.96,3.37,High,0,11.068,3,60.8,4.6,17.71,3,0,33.1,23.4,32,22.2,35.6,5.6,37.3,3.1,14.6,4,70.9,68.1,54.3,66.7,61.1,68.3,41.3,39.6,42,44.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa038294_T001,TRUE,Master Protein,Sn00001aa038294_T001,5,2,2,544,NA,0.923,1.386,0.99999999738733,0.784862742007498,1,1,170.6,157.5,57.7,79.9,18.86,18.57,40.26,14.24,High,0,6.531,2,60.8,5.21,6.9,2,0,46.7,31.3,40.3,34.2,41.3,6.9,37.3,1.8,16.4,3.5,100,91.1,68.4,102.7,70.9,84.1,41.3,23,47.2,38.6,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa035068_T001,TRUE,Master Protein,Sn00001aa035068_T001,17,8,19,695,NA,0.978,0.618,0.995214014082125,0.725778614112819,1,1,93.4,91.3,203.8,126,27.5,37.29,21.26,5.77,High,0,38.451,1,70.2,5.99,61.23,8,0,6.1,7.6,13.1,5.5,16.5,0,37.5,4.4,10.8,2.6,13.1,22.1,22.2,16.5,28.3,0,41.5,56.2,31.1,28.7,High,High,High,High,High,Not Found,High,High,High,High,1
Sn00001aa039531_T001,TRUE,Master Protein,Sn00001aa039531_T001,21,5,11,287,NA,0.748,0.846,0.906654843839749,NA,1,NA,66,49.3,169.9,143.8,14.24,31.5,NA,39.06,High,0,24.804,1,32,6.13,35.74,5,0,9.1,5.1,9.5,3.2,8.8,0,37.5,0,16.2,2.4,19.5,14.8,16.1,9.6,15.1,0,41.5,0,46.6,26.5,High,High,High,High,High,Not Found,High,Not Found,High,High,1
Sn00001aa017022_T001,TRUE,Master Protein,Sn00001aa017022_T001,18,3,4,406,NA,1.039,0.819,0.996307867010507,NA,1,NA,104.7,108.8,120.3,98.5,34.4,45,NA,NA,High,0,16.322,3,42.2,6.96,15.97,3,0,12.4,18.1,21.3,12.5,16.8,5.5,37.5,0,11.8,0,26.5,52.7,36.1,37.5,28.9,67,41.5,0,34,0,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa017144_T001,TRUE,Master Protein,Sn00001aa017144_T001,18,3,6,112,NA,0.671,0.671,0.926389942810941,NA,1,NA,222.3,149.1,67,45,35.71,44.73,NA,NA,High,0,11.66,1,12.4,9.58,18.5,3,0,101.6,38,81.4,62.7,53.3,7.6,37.6,0,9.7,0,217.5,110.6,138.1,188.3,91.6,92.6,41.6,0,27.9,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa013430_T003,TRUE,Master Protein,Sn00001aa013430_T003,33,3,11,148,NA,1.056,0.703,0.996046741309264,0.654258000219302,1,1,103.4,109.2,154.6,108.6,23.38,27.12,2.82,14.12,High,0,22.181,1,16.7,7.03,50.62,3,0,13.3,10.4,11.2,6.7,17.5,2.9,37.7,3.4,9.4,3,28.5,30.3,19,20.1,30.1,35.3,41.7,43.4,27.1,33.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa074551_T002,TRUE,Master Protein,Sn00001aa074551_T002,20,16,31,964,NA,0.99,0.986,0.999990347249084,NA,1,NA,104.6,103.6,114.1,112.5,12.7,24.55,NA,9.42,High,0,58.01,3,110,6.13,98.16,16,0,20.5,11.7,22.6,9.6,22.1,3.9,37.8,0,13.4,4,43.9,34.1,38.3,28.8,38,47.5,41.8,0,38.6,44.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa014676_T001,TRUE,Master Protein,Sn00001aa014676_T001,7,2,3,481,NA,0.947,1.072,0.999911817695864,0.99940910973678,1,1,152.9,144.8,83.8,89.8,8.3,14.92,24.93,46.37,High,0,8.171,2,54,4.81,10.61,2,0,30.6,22,33,20.2,33.5,6.2,37.9,2.3,9.3,4.8,65.5,64.1,56,60.7,57.5,75.6,41.9,29.4,26.8,52.9,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa003467_T001,TRUE,Master Protein,Sn00001aa003467_T001,9,2,2,284,NA,0.965,0.868,0.9930293670843,0.966008050878693,1,1,153.6,148.3,105.7,91.7,13.62,13.59,15.62,15.75,High,0,4.505,2,32.1,9.09,5.69,2,0,25.8,23.4,42.6,21.9,37.5,6.7,37.9,4.1,15.8,3.3,55.2,68.1,72.3,65.8,64.4,81.7,41.9,52.4,45.5,36.4,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa056927_T001,TRUE,Master Protein,Sn00001aa056927_T001,31,5,12,171,NA,1.069,3.18,0.999938054796121,0.334799605202165,1,0.8757953560767,162.9,174.2,28.5,90.7,7.91,42.55,34.55,82.34,High,0,23.901,1,19.5,10.26,39.76,5,0,87.5,64.4,96,79.1,116.6,7.6,38,2,18.6,18.4,187.3,187.5,162.8,237.5,200.3,92.6,42.1,25.5,53.6,202.8,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa015270_T001,TRUE,Master Protein,Sn00001aa015270_T001,16,3,5,303,NA,0.653,1.036,0.987005132317032,0.999997743770634,1,1,225.5,147.2,28.8,29.8,21.7,42.88,25.65,33.78,High,0,14.479,2,34.5,9.17,18.63,3,0,155.4,94.9,126,119.3,104.9,14.8,38.3,2.3,16.2,2.6,332.7,276.3,213.7,358.2,180.2,180.4,42.4,29.4,46.6,28.7,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa002127_T005,TRUE,Master Protein,Sn00001aa002127_T005,4,2,2,773,NA,0.667,1.162,0.0589870118136661,0.928544414180778,0.499160969577563,1,147.6,98.4,94.7,110.1,20.52,5.66,24.35,9.77,High,0,8.212,2,83.4,9.2,6.46,2,0,48,27,41,16.5,32.3,4.3,38.3,4.7,19,5.7,102.8,78.6,69.5,49.5,55.5,52.4,42.4,60,54.7,62.8,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa085394_T001,TRUE,Master Protein,Sn00001aa085394_T001,9,2,4,312,NA,1.37,1.967,0.043105806295191,3.93242007004413e-4,0.416426358577732,0.0198044165051365,113.9,156.1,57.9,113.9,2.03,11.72,0.59,4.78,High,0,11.266,2,34.3,8.35,13.45,2,0,40.2,28.6,48.9,38,56.2,10,38.4,3.3,29.9,7.3,86.1,83.3,83,114.1,96.5,121.9,42.5,42.1,86.1,80.5,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa005505_T001,TRUE,Master Protein,Sn00001aa005505_T001,16,6,7,380,NA,1.112,0.941,0.999992130709865,NA,1,NA,177.1,197,39.7,37.3,20.12,24.44,NA,46.16,High,0,16.382,4,41.9,8.66,18.57,6,0,71.5,79,112.4,71.4,78.1,17.4,38.6,0,19.6,2.6,153.1,230,190.7,214.4,134.2,212.1,42.7,0,56.4,28.7,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa095330_T001,TRUE,Master Protein,Sn00001aa095330_T001,2,2,3,961,NA,0.986,1.089,0.978177085485091,0.996521813262312,1,1,210.4,207.5,37.5,40.8,12.99,27.81,3.2,9.01,High,0,7.309,1,104.4,6.48,8.52,2,0,121.8,84.3,118.9,87.3,140.9,12.2,38.6,3.5,15.5,4.6,260.7,245.4,201.7,262.1,242,148.7,42.7,44.7,44.6,50.7,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa072508_T001,TRUE,Master Protein,Sn00001aa072508_T001,14,9,32,794,NA,1.593,0.79,NA,0.65653559053709,NA,1,48,76.5,150.3,118.7,24.53,NA,7.88,15.48,High,0,40.267,2,90.3,6.76,115.57,9,0,7.2,0,6.4,0,12,0,38.7,3,12.4,2.6,15.4,0,10.9,0,20.6,0,42.8,38.3,35.7,28.7,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa055441_T001,TRUE,Master Protein,Sn00001aa055441_T001,5,2,5,440,NA,2.255,0.754,0.0492929129153354,NA,0.449193563948937,NA,107.7,242.8,48.1,36.3,11.76,16.11,NA,58.04,High,0,10.943,2,47.9,7.05,10.36,2,0,44.9,34.8,47.4,72.2,121.6,22.8,38.8,0,17.4,1.9,96.1,101.3,80.4,216.8,208.9,277.9,42.9,0,50.1,20.9,High,High,High,High,High,High,High,Not Found,High,High,1
Sn00001aa089176_T001,TRUE,Master Protein,Sn00001aa089176_T001,6,2,4,302,NA,0.978,1.663,0.998801676036223,0.706364062806843,1,1,62.1,60.8,141.7,235.6,23.23,45.15,38.74,8.15,High,0,9.891,1,31.5,5.07,12.17,2,0,14.4,6.6,14.7,6.3,14.2,3.6,38.8,5.9,34.8,8.1,30.8,19.2,24.9,18.9,24.4,43.9,42.9,75.3,100.2,89.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa097182_T001,TRUE,Master Protein,Sn00001aa097182_T001,5,2,2,444,NA,0.722,1.138,0.113539264710925,NA,0.733777033326194,NA,114.2,82.5,122.1,138.9,7.88,9.61,NA,4.33,High,0,4.53,2,47.5,8.54,6.87,2,0,20.4,13.8,22,10.8,16.9,2.2,38.8,0,17.5,4.3,43.7,40.2,37.3,32.4,29,26.8,42.9,0,50.4,47.4,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa063064_T001,TRUE,Master Protein,Sn00001aa063064_T001,22,4,6,328,NA,1.276,0.93,0.979336171526931,NA,1,NA,85.9,109.6,148.2,137.8,25.87,16.31,NA,13.5,High,0,10.601,1,35.7,7.34,19.84,4,0,17.5,8.3,14.7,11.9,16.5,0,38.9,0,15.3,3.3,37.5,24.2,24.9,35.7,28.3,0,43,0,44.1,36.4,High,High,High,High,High,Not Found,High,Not Found,High,High,1
Sn00001aa080447_T001,TRUE,Master Protein,Sn00001aa080447_T001,12,2,3,264,NA,0.714,0.763,0.793198280399542,0.852842964325155,1,1,157.2,112.2,100.1,76.4,14.26,29.75,15.81,33.35,High,0,8.52,2,29.2,9.17,10.69,2,0,22.1,20.8,36.5,14.4,34.7,2.7,39,2.7,13,2.1,47.3,60.6,61.9,43.2,59.6,32.9,43.2,34.5,37.4,23.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa048310_T001,TRUE,Master Protein,Sn00001aa048310_T001,13,2,5,243,NA,1.258,1.733,0.914805501108073,0.604469107346668,1,1,165.8,208.5,41.2,71.4,21.71,28.76,15.99,5.22,High,0,11.889,2,26,4.93,19.92,2,0,72.6,62.8,69.1,87.1,113.8,12,39.1,2.7,22.4,6.3,155.4,182.8,117.2,261.5,195.5,146.3,43.3,34.5,64.5,69.4,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa052604_T001,TRUE,Master Protein,Sn00001aa052604_T001,7,2,8,391,NA,1.235,1.164,0.787869085917045,NA,1,NA,117.5,145.1,88.3,102.8,9.79,0.95,NA,NA,High,0,10.725,1,43.5,6.3,25.25,2,0,26.9,18.3,38.1,23.5,41.4,5.9,39.1,0,17.5,0,57.6,53.3,64.6,70.6,71.1,71.9,43.3,0,50.4,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa014821_T001,TRUE,Master Protein,Sn00001aa014821_T001,23,5,22,287,NA,1.481,1.052,0.230360564455425,NA,1,NA,105.9,156.9,81.1,85.4,7.91,17.07,NA,5.28,High,0,30.216,2,32.5,4.89,99.9,5,0,27.8,19.5,30,28,52.9,5.3,39.3,0,16.5,4,59.5,56.8,50.9,84.1,90.9,64.6,43.5,0,47.5,44.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa096401_T001,TRUE,Master Protein,Sn00001aa096401_T001,10,3,3,528,NA,0.908,2.085,0.999999999503618,NA,1,NA,61.2,55.6,102.2,213.1,19.06,30.79,NA,7.91,High,0,10.615,3,59.5,6.11,11.09,3,0,12.2,7.8,19.4,7.4,13.8,3.1,39.4,0,33.4,7.8,26.1,22.7,32.9,22.2,23.7,37.8,43.6,0,96.2,86,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa084181_T001,TRUE,Master Protein,Sn00001aa084181_T001,5,2,2,604,NA,1.115,0.858,0.998977510055329,0.985235160977376,1,1,107.2,119.5,151.7,130.1,5.48,8.98,31.86,5.64,High,0,8.903,1,66.4,8.09,7.95,2,0,18.1,14.6,22.8,13.5,26.8,0,39.4,5.4,17,4.1,38.7,42.5,38.7,40.5,46,0,43.6,69,48.9,45.2,High,High,High,High,High,Not Found,High,High,High,High,1
Sn00001aa076150_T001,TRUE,Master Protein,Sn00001aa076150_T001,5,2,2,491,NA,1.003,0.691,0.999550244961937,0.736319572582583,1,1,191.8,192.3,45.1,31.1,18.24,5.84,19.4,26.3,High,0,4.748,1,55.2,6.52,5.73,2,0,98.9,98.7,125.6,78.3,124.4,17.4,39.4,4.5,14.5,2.6,211.7,287.4,213.1,235.1,213.7,212.1,43.6,57.5,41.7,28.7,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa093616_T001,TRUE,Master Protein,Sn00001aa093616_T001,12,3,5,244,NA,1.364,0.448,0.999672068188858,NA,1,NA,89,121.5,203,90.9,68.69,3.44,NA,NA,High,0,7.43,1,26.3,6.95,13.7,3,0,6.5,16.7,11.3,8.5,15.6,0,39.5,0,6.8,0,13.9,48.6,19.2,25.5,26.8,0,43.7,0,19.6,0,High,High,High,High,High,Not Found,High,Not Found,High,Not Found,1
Sn00001aa005182_T001,TRUE,Master Protein,Sn00001aa005182_T001,2,5,5,2647,NA,1.426,1.913,0.807978780549124,0.114375632934566,1,0.442442097262606,127.2,181.5,40.2,77,16.74,21.53,30.93,2.53,High,0,11.368,5,289.3,7.37,14.71,5,0,62.4,38.1,56.5,54.1,92.1,8.8,39.6,2.2,22.9,6.2,133.6,110.9,95.8,162.4,158.2,107.3,43.8,28.1,65.9,68.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa058067_T001,TRUE,Master Protein,Sn00001aa058067_T001,12,3,7,256,NA,1.329,7.335,0.854595405544041,0.00461865399265626,1,0.0632731666144205,44.5,59.1,40.9,300.2,29.07,47.62,28.8,18.99,High,0,11.59,1,28.3,9.36,21.11,3,0,31.4,12.6,34.6,14.6,45.4,9.9,39.7,5.2,157.5,31.4,67.2,36.7,58.7,43.8,78,120.7,43.9,66.4,453.5,346.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa048136_T002,TRUE,Master Protein,Sn00001aa048136_T002,4,2,3,635,NA,0.859,0.776,0.894029610840727,0.848354575405744,1,1,131.5,112.9,104.5,81.1,18.27,22.99,6.84,16.33,High,0,9.783,1,70.2,6.74,9.93,2,0,25.3,26,34.3,21.8,24.3,4.1,39.8,3.8,14,2.9,54.2,75.7,58.2,65.5,41.7,50,44,48.5,40.3,32,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa048504_T001,TRUE,Master Protein,Sn00001aa048504_T001,10,3,3,397,NA,1.102,0.767,0.999997560959826,0.931995901639873,1,1,91.9,101.3,150.2,115.2,16.15,9.31,13.36,15.94,High,0,6.91,3,43.7,7.75,9.49,3,0,18.2,10.2,17.6,9.5,19.9,2.7,40.1,4.2,11.6,3.8,39,29.7,29.9,28.5,34.2,32.9,44.4,53.6,33.4,41.9,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa081538_T003,TRUE,Master Protein,Sn00001aa081538_T003,4,2,2,916,NA,0.945,1.708,0.999973571015153,0.264386654096595,1,0.76065104834755,93.3,88.1,107.3,183.2,16.57,12.04,32.95,10.73,High,0,5.888,2,103.3,6.35,6.23,2,0,22.9,14.1,33.8,14.1,31.2,3.8,40.2,5.6,36.1,8.1,49,41.1,57.3,42.3,53.6,46.3,44.5,71.5,103.9,89.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa090888_T001,TRUE,Master Protein,Sn00001aa090888_T001,21,4,13,230,NA,0.697,7.649,0.999713265143324,0.00525023306880934,1,0.0685050804798668,70.5,49.1,44.2,338,33.27,40.99,10.73,17.66,High,0,24.682,1,24.2,7.25,41.13,4,0,30.8,12.1,41.2,15.3,44.8,2.9,40.3,3,124.5,25.3,65.9,35.2,69.9,45.9,77,35.3,44.6,38.3,358.5,278.9,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa012540_T001,TRUE,Master Protein,Sn00001aa012540_T001,12,2,3,285,NA,1.096,0.787,0.966482011420604,0.957902982838522,1,1,120.4,131.9,116.8,91.9,8.33,32.46,64.8,0.68,High,0,12.498,2,31.3,8.6,11.85,2,0,38.2,25.9,40.8,23.4,48.1,10.5,40.3,9.4,20.1,5.2,81.8,75.4,69.2,70.3,82.6,128,44.6,120,57.9,57.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa009967_T001,TRUE,Master Protein,Sn00001aa009967_T001,15,3,5,293,NA,0.81,1.134,0.717548356501191,0.991049030489993,1,1,170.1,137.8,82.7,93.7,20.25,23.8,32.44,27.38,High,0,12.172,1,32.8,8.32,19.79,3,0,34.1,31.8,36.7,19.7,26.2,6,40.5,2.2,17,3,73,92.6,62.3,59.2,45,73.1,44.8,28.1,48.9,33.1,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa068116_T006,TRUE,Master Protein,Sn00001aa068116_T006,5,3,4,962,NA,1.43,1.188,0.732643208694311,0.948574199600218,1,1,122.2,174.7,61.7,73.3,33.75,11.72,0.2,19.43,High,0,8.159,3,105.7,5.59,13.02,3,0,41.4,50.1,47.7,42.2,66.3,11.8,40.5,3.5,21.2,4.2,88.6,145.9,80.9,126.7,113.9,143.8,44.8,44.7,61,46.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa005937_T001,TRUE,Master Protein,Sn00001aa005937_T001,7,2,6,216,NA,0.553,1.423,0.130018033575066,NA,0.786053216737727,NA,280.8,155.3,21.5,30.6,17.06,4.8,NA,NA,High,0,5.072,1,23.9,5.99,17.63,2,0,273.9,228.5,277.4,108,179.2,27.8,40.6,0,22.2,0,586.4,665.3,470.6,324.3,307.8,338.8,44.9,0,63.9,0,High,High,High,High,High,High,High,Not Found,High,Not Found,1
Sn00001aa001760_T001,TRUE,Master Protein,Sn00001aa001760_T001,7,2,2,381,NA,1.703,1.418,0.0149831010897846,0.296753180827565,0.240893155259603,0.810111541575485,143.8,244.9,40.3,57.2,7.76,12.61,16.42,25.78,High,0,4.014,2,42.9,6.18,6.47,2,0,62.2,53.4,84.5,81.3,130.6,23.5,40.8,2.8,23.8,4.3,133.2,155.5,143.3,244.1,224.3,286.4,45.2,35.8,68.5,47.4,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa020088_T001,TRUE,Master Protein,Sn00001aa020088_T001,6,2,3,571,NA,0.91,0.761,0.971980253906999,NA,1,NA,168.9,153.7,101.8,77.5,11.01,41.63,NA,NA,High,0,8.324,2,63.9,9.19,11.13,2,0,29.8,27.2,44.4,28.4,39.9,2.8,41,0,12,0,63.8,79.2,75.3,85.3,68.5,34.1,45.4,0,34.5,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa022038_T001,TRUE,Master Protein,Sn00001aa022038_T001,10,3,5,518,NA,1.365,1.333,0.999999996936469,NA,1,NA,149.6,204.1,43.6,58.1,7.58,46.28,39.87,NA,High,0,9.3,3,56.2,7.46,15.71,3,0,59.1,40.2,64.1,53.2,96,4.9,41.2,2,15.8,0,126.5,117,108.7,159.7,164.9,59.7,45.6,25.5,45.5,0,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa023710_T001,TRUE,Master Protein,Sn00001aa023710_T001,14,3,8,307,NA,1.045,1.292,0.999364529927103,0.985863998224668,1,1,68.8,71.8,157.6,203.6,21.21,39.7,67.83,25.84,High,0,15.926,1,35.2,5.41,30.49,3,0,15.9,8,20.7,7.2,20.7,4.1,41.8,10.3,29.1,11,34,23.3,35.1,21.6,35.6,50,46.3,131.5,83.8,121.2,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa087805_T001,TRUE,Master Protein,Sn00001aa087805_T001,22,4,5,230,NA,0.993,0.728,0.998838814505154,NA,1,NA,102.3,101.5,161.2,117.3,16.6,6.32,NA,43.61,High,0,10.614,4,26,7.94,13.87,4,0,16.6,8.8,17.3,9.7,15.2,2.4,41.8,0,8.5,4.2,35.5,25.6,29.3,29.1,26.1,29.3,46.3,0,24.5,46.3,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa021757_T001,TRUE,Master Protein,Sn00001aa021757_T001,14,2,2,238,NA,1.228,1.144,0.842140129068579,0.982907078972276,1,1,88.5,108.7,127.4,145.8,6.35,21.78,34.55,31.72,High,0,7.484,2,26.8,5.48,7.47,2,0,12,8.6,13.4,7.8,17.9,3,41.8,2.2,11.4,4.7,25.7,25,22.7,23.4,30.7,36.6,46.3,28.1,32.8,51.8,High,High,High,High,High,High,High,High,High,High,1
Sn00001aa071118_T001,TRUE,Master Protein,Sn00001aa071118_T001,25,6,19,232,NA,0.79,0.927,0.771375550902679,NA,1,NA,169.5,133.9,96.7,89.7,15.2,7.75,34.78,NA,High,0,25.737,1,25.9,9.57,62.11,6,0,55.6,35.9,51.6,27.5,45.8,7.5,41.9,6,19.2,0,119,104.5,87.5,82.6,78.7,91.4,46.4,76.6,55.3,0,High,High,High,High,High,High,High,High,High,Not Found,1
