"protein_id","Checked","Master","Description","Coverage","Peptides","PSMs","AAs","Modifications","Abundance_Ratio_Winter_Summer","pval_Winter_Summer","adj_pval_Winter_Summer","Abundance_Grouped_Summer","Abundance_Grouped_Winter","Abundance_Grouped_CV_Summer","Abundance_Grouped_CV_Winter","Abundance_Ag-1_Summer","Abundance_Ag-2_Summer","Abundance_Ag-3_Summer","Abundance_Ag-1_Winter","Abundance_Ag-2_Winter","Abundance_Ag-3_Winter","Abundances_Normalized_Ag-1_Summer","Abundances_Normalized_Ag-2_Summer","Abundances_Normalized_Ag-3_Summer","Abundances_Normalized_Ag-1_Winter","Abundances_Normalized_Ag-2_Winter","Abundances_Normalized_Ag-3_Winter","Found_in_Sample_S3_Ag-1_Summer","Found_in_Sample_S6_Ag-2_Summer","Found_in_Sample_S9_Ag-3_Summer","Found_in_Sample_S2_Ag-1_Winter","Found_in_Sample_S5_Ag-2_Winter","Found_in_Sample_S8_Ag-3_Winter"
"Ag00001aa039572_T001",TRUE,"Master Protein","Ag00001aa039572_T001",47,8,16,283,NA,0.994,0.998869060236705,1,115.5,114.9,2.47,1.48,138.5,225,203.4,73.6,130.1,118.1,216.4,225,215,217.1,210.9,215.1,"High","High","High","High","High","High"
"Ag00001aa030298_T001",TRUE,"Master Protein","Ag00001aa030298_T001",28,8,27,452,NA,0.781,0.757620428034423,1,108.8,85,18.89,6.23,62.5,136.5,132.6,38.6,65.8,55.2,97.6,136.5,140.2,113.8,106.7,100.5,"High","High","High","High","High","High"
"Ag00001aa047271_T001",TRUE,"Master Protein","Ag00001aa047271_T001",33,6,28,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa027321_T002",TRUE,"Master Protein","Ag00001aa027321_T002",24,6,11,385,NA,0.906,0.915068222559286,1,82.7,74.9,17.8,12.4,21.7,37.4,44.9,12.7,18,18.6,33.9,37.4,47.5,37.5,29.2,33.9,"High","High","High","High","High","High"
"Ag00001aa107464_T001",TRUE,"Master Protein","Ag00001aa107464_T001",26,7,21,387,NA,0.795,0.00417524390944879,0.0504757917832,143.2,113.9,3.43,12.33,909.6,1476.9,1439.6,400,724.7,517.5,1421,1476.9,1522.1,1179.8,1174.6,942.5,"High","High","High","High","High","High"
"Ag00001aa047115_T005",TRUE,"Master Protein","Ag00001aa047115_T005",21,11,16,729,NA,1.924,0.00560591718453163,0.0544811824426363,71,136.6,7.52,26.6,16.6,27.4,22.3,15.7,45.7,27.4,25.9,27.4,23.6,46.3,74.1,49.9,"High","High","High","High","High","High"
"Ag00001aa112012_T001",TRUE,"Master Protein","Ag00001aa112012_T001",24,9,19,379,NA,0.686,0.290392898697458,0.773810525543794,86.7,59.5,5.46,12.33,133.5,204.5,214.1,47,106.7,78.5,208.6,204.5,226.4,138.6,172.9,143,"High","High","High","High","High","High"
"Ag00001aa136657_T001",TRUE,"Master Protein","Ag00001aa136657_T001",24,9,16,478,NA,1.029,0.7970147625403,1,74.8,77,6.15,3.91,266,461.9,439.2,155.5,305.9,261,415.6,461.9,464.4,458.6,495.8,475.4,"High","High","High","High","High","High"
"Ag00001aa048233_T001",TRUE,"Master Protein","Ag00001aa048233_T001",17,4,12,364,NA,0.762,0.262080778379464,0.723053256275225,172,131,9.89,5.01,483.1,717.2,818.5,185.7,354.7,332.4,754.7,717.2,865.4,547.7,574.9,605.4,"High","High","High","High","High","High"
"Ag00001aa015404_T003",TRUE,"Master Protein","Ag00001aa015404_T003",33,10,22,475,NA,0.91,0.349000892030957,0.854871323487206,86.4,78.7,5.4,1.63,236.6,375.9,386.2,116,208.2,191.4,369.6,375.9,408.3,342.1,337.5,348.6,"High","High","High","High","High","High"
"Ag00001aa145004_T001",TRUE,"Master Protein","Ag00001aa145004_T001",18,8,21,555,NA,0.476,0.514955622176269,1,145.2,69.1,33.84,5.63,511.4,768.6,378.5,129.8,225.5,187.8,798.9,768.6,400.2,382.8,365.5,342,"High","High","High","High","High","High"
"Ag00001aa118591_T001",TRUE,"Master Protein","Ag00001aa118591_T001",45,5,58,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa030909_T001",TRUE,"Master Protein","Ag00001aa030909_T001",43,8,22,221,NA,0.778,0.148628967584451,0.494281567285362,99,77.1,10.61,11.13,677.9,900.9,1048.7,295,431,452.6,1059.1,900.9,1108.8,870.1,698.6,824.3,"High","High","High","High","High","High"
"Ag00001aa039983_T002",TRUE,"Master Protein","Ag00001aa039983_T002",29,11,17,484,NA,1.116,0.999999720157801,1,179.7,200.4,13.69,13.61,30.5,50.7,58.2,15.4,34.9,32.5,47.6,50.7,61.5,45.4,56.6,59.2,"High","High","High","High","High","High"
"Ag00001aa068964_T001",TRUE,"Master Protein","Ag00001aa068964_T001",41,10,19,320,NA,1.319,0.510557503173538,1,104.1,137.3,5.51,17.73,351.3,564.6,479.5,245.4,489.6,304.9,548.8,564.6,507,723.8,793.6,555.3,"High","High","High","High","High","High"
"Ag00001aa055357_T001",TRUE,"Master Protein","Ag00001aa055357_T001",17,9,15,870,NA,1.137,0.956522682409284,1,95.2,108.2,12.48,10.08,285.8,422.4,504.4,185.9,313.1,245.9,446.5,422.4,533.3,548.3,507.5,447.9,"High","High","High","High","High","High"
"Ag00001aa119448_T001",TRUE,"Master Protein","Ag00001aa119448_T001",27,9,22,509,NA,0.99,0.980520002746092,1,40.5,40.1,13.13,13.84,62.4,93.1,71.4,36.9,51.2,50.6,97.5,93.1,75.5,108.8,83,92.2,"High","High","High","High","High","High"
"Ag00001aa144657_T001",TRUE,"Master Protein","Ag00001aa144657_T001",22,9,18,535,NA,0.605,0.000199688674357157,0.00929075791509094,149.4,90.4,17.04,8.51,523.4,800.5,1015.4,167.7,310.6,235.7,817.7,800.5,1073.6,494.6,503.4,429.3,"High","High","High","High","High","High"
"Ag00001aa094569_T001",TRUE,"Master Protein","Ag00001aa094569_T001",13,12,16,1193,NA,0.816,0.929928058875487,1,93.8,76.5,17.82,30.17,35,63.4,73.5,25.1,31.9,22.6,54.7,63.4,77.7,74,51.7,41.2,"High","High","High","High","High","High"
"Ag00001aa154929_T001",TRUE,"Master Protein","Ag00001aa154929_T001",20,6,11,441,NA,0.52,1.85249524167208e-05,0.00246597991587249,117.6,61.1,6.17,8.78,396.6,611.8,646.6,105.7,198.7,201.4,619.6,611.8,683.6,311.7,322.1,366.8,"High","High","High","High","High","High"
"Ag00001aa009291_T002",TRUE,"Master Protein","Ag00001aa009291_T002",26,11,18,578,NA,1.01,0.999993641331022,1,118.6,119.8,10.37,6.66,928.6,1184.7,1206.9,437,741.8,754.4,1450.7,1184.7,1276,1288.9,1202.4,1374,"High","High","High","High","High","High"
"Ag00001aa105248_T001",TRUE,"Master Protein","Ag00001aa105248_T001",38,7,14,309,NA,0.938,0.747830396090555,1,105.8,99.3,4.21,2.54,194.1,286.7,264.3,93.3,166,143.6,303.2,286.7,279.4,275.2,269.1,261.5,"High","High","High","High","High","High"
"Ag00001aa061613_T001",TRUE,"Master Protein","Ag00001aa061613_T001",17,14,19,1092,NA,0.854,0.700113277955458,1,91.2,77.9,3.97,7.18,441.1,657.9,602.4,186.7,346.7,344.7,689.1,657.9,636.9,550.6,562,627.8,"High","High","High","High","High","High"
"Ag00001aa059138_T001",TRUE,"Master Protein","Ag00001aa059138_T001",21,8,16,474,NA,1.031,0.906796805937892,1,84.3,86.9,11.79,7.84,54.7,85,65.2,31.9,49.6,48.1,85.5,85,68.9,94.1,80.4,87.6,"High","High","High","High","High","High"
"Ag00001aa040947_T001",TRUE,"Master Protein","Ag00001aa040947_T001",21,14,23,701,"Met-loss [N-Term]",0.771,0.00549336385252752,0.054481163605303,108.1,83.3,13.65,3.4,611.4,801.3,694.4,198.6,381,343,955.2,801.3,734.2,585.7,617.5,624.7,"High","High","High","High","High","High"
"Ag00001aa039931_T001",TRUE,"Master Protein","Ag00001aa039931_T001",23,10,18,665,NA,1.028,0.980789884064517,1,99.8,102.6,2.47,3.56,411,646.9,584.2,228.4,407.3,345,642.1,646.9,617.7,673.6,660.2,628.4,"High","High","High","High","High","High"
"Ag00001aa059234_T001",TRUE,"Master Protein","Ag00001aa059234_T001",19,7,28,371,NA,1.232,0.115696542787258,0.416935608621671,117.5,144.7,6.47,6.15,632.7,1090,1059.3,494,828.5,710.2,988.4,1090,1120,1457,1342.9,1293.5,"High","High","High","High","High","High"
"Ag00001aa018188_T001",TRUE,"Master Protein","Ag00001aa018188_T001",16,12,18,1045,NA,0.883,0.623136387991946,1,87.5,77.3,7.24,5.79,440,635.8,562.8,186.1,346.2,335.8,687.4,635.8,595,548.9,561.1,611.6,"High","High","High","High","High","High"
"Ag00001aa027716_T001",TRUE,"Master Protein","Ag00001aa027716_T001",13,7,38,673,NA,1.972,0.536155181618044,1,80.3,158.3,10.01,40.65,89.4,114.3,123.2,87.1,161.4,61.2,139.7,114.3,130.3,256.9,261.6,111.5,"High","High","High","High","High","High"
"Ag00001aa136054_T001",TRUE,"Master Protein","Ag00001aa136054_T001",19,7,19,584,NA,1.102,0.999921978862554,1,94.4,104,7.62,11.76,391.3,527.3,523.7,206.8,384.8,274.4,611.3,527.3,553.7,609.9,623.7,499.8,"High","High","High","High","High","High"
"Ag00001aa062385_T001",TRUE,"Master Protein","Ag00001aa062385_T001",39,8,26,288,NA,0.32,4.78460337793862e-07,0.000281070228310521,142.1,45.5,19.3,6.66,171.2,237,324.3,27.7,52.8,51.1,267.5,237,342.9,81.7,85.6,93.1,"High","High","High","High","High","High"
"Ag00001aa016310_T001",TRUE,"Master Protein","Ag00001aa016310_T001",17,13,18,1092,NA,0.983,0.837762842671849,1,71.4,70.1,11.3,8.61,95,129,112.6,44,68,69.6,148.4,129,119,129.8,110.2,126.8,"High","High","High","High","High","High"
"Ag00001aa150179_T001",TRUE,"Master Protein","Ag00001aa150179_T001",31,7,14,318,NA,0.715,0.000327968065161222,0.0114266259119861,132.8,95,3.57,10.33,451.8,683.5,621.6,140.7,301.6,278.1,705.8,683.5,657.2,415,488.9,506.5,"High","High","High","High","High","High"
"Ag00001aa081532_T001",TRUE,"Master Protein","Ag00001aa081532_T001",25,9,35,426,NA,1.004,1,1,72,72.3,3.02,11.77,128.7,203.8,201.4,78.7,126.3,100.8,201.1,203.8,212.9,232.1,204.7,183.6,"High","High","High","High","High","High"
"Ag00001aa079190_T001",TRUE,"Master Protein","Ag00001aa079190_T001",67,10,25,147,"Met-loss [N-Term]",0.717,0.0128262599344063,0.0974413488548859,99.9,71.6,20.37,4.48,408.8,704.3,882.5,184.7,311.2,277.1,638.7,704.3,933,544.7,504.4,504.7,"High","High","High","High","High","High"
"Ag00001aa152397_T002",TRUE,"Master Protein","Ag00001aa152397_T002",29,6,23,330,NA,0.933,0.9956765350356,1,153.8,143.5,9.97,11.47,77.4,116.2,132.3,36.7,69.6,73.4,120.9,116.2,139.9,108.2,112.8,133.7,"High","High","High","High","High","High"
"Ag00001aa016394_T001",TRUE,"Master Protein","Ag00001aa016394_T001",45,11,35,249,"Met-loss+Acetyl [N-Term]",0.908,0.073619235271891,0.314156811460335,98.7,89.6,4.02,10.3,137.5,204.9,187.6,63.1,97.6,106,214.8,204.9,198.3,186.1,158.2,193.1,"High","High","High","High","High","High"
"Ag00001aa127380_T002",TRUE,"Master Protein","Ag00001aa127380_T002",26,12,19,657,NA,0.934,0.809789744430329,1,97.9,91.4,1.94,3.78,547.8,872.1,793.5,270.9,516.5,426.7,855.8,872.1,838.9,799,837.2,777.2,"High","High","High","High","High","High"
"Ag00001aa054114_T001",TRUE,"Master Protein","Ag00001aa054114_T001",11,15,18,1873,NA,0.991,0.999992078827635,1,89.1,88.2,10.92,9.73,214.7,373.5,283.8,129.3,205,174.3,335.4,373.5,300.1,381.4,332.3,317.5,"High","High","High","High","High","High"
"Ag00001aa085318_T001",TRUE,"Master Protein","Ag00001aa085318_T001",15,8,14,870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa048819_T001",TRUE,"Master Protein","Ag00001aa048819_T001",20,5,21,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa118242_T001",TRUE,"Master Protein","Ag00001aa118242_T001",39,9,33,311,NA,0.958,0.998541029195498,1,116.5,111.6,3.62,3.99,824.1,1383.7,1272.1,426.1,794.9,745.7,1287.5,1383.7,1345,1256.7,1288.4,1358.2,"High","High","High","High","High","High"
"Ag00001aa090027_T001",TRUE,"Master Protein","Ag00001aa090027_T001",17,8,16,694,NA,1.009,0.9999999195979,1,115.6,116.6,21.77,2.03,292.9,570.6,670.9,189.8,359.3,316.1,457.6,570.6,709.3,559.8,582.4,575.7,"High","High","High","High","High","High"
"Ag00001aa051505_T001",TRUE,"Master Protein","Ag00001aa051505_T001",22,6,18,376,NA,1.222,0.313680110909702,0.809138673431733,94,114.9,11.15,5.01,408.7,686.5,749.4,284.5,517.6,501.8,638.5,686.5,792.3,839.1,839,913.9,"High","High","High","High","High","High"
"Ag00001aa077518_T001",TRUE,"Master Protein","Ag00001aa077518_T001",13,5,70,468,NA,0.359,0.855659351612453,1,253.2,91,78.91,71.11,922.2,945,123.1,44.6,411.1,186.4,1440.7,945,130.2,131.5,666.3,339.5,"High","High","High","High","High","High"
"Ag00001aa011953_T002",TRUE,"Master Protein","Ag00001aa011953_T002",31,5,31,225,NA,1.054,0.999999964215688,1,92.9,97.9,7.06,5.05,563,977.5,811,314.3,572.2,465.8,879.6,977.5,857.4,927,927.5,848.4,"High","High","High","High","High","High"
"Ag00001aa087672_T001",TRUE,"Master Protein","Ag00001aa087672_T001",58,8,30,190,NA,0.905,0.986169612761758,1,78.9,71.4,9.56,0.62,509.4,658.3,712.1,233.3,419.6,374.2,795.8,658.3,752.9,688.1,680.1,681.5,"High","High","High","High","High","High"
"Ag00001aa031817_T001",TRUE,"Master Protein","Ag00001aa031817_T001",38,6,25,302,NA,0.428,0.0028790688475373,0.0403423208513692,261.8,112,21.1,26.57,871.3,2070.6,1556.3,167.2,434.3,469.4,1361.2,2070.6,1645.4,493.1,703.9,854.9,"High","High","High","High","High","High"
"Ag00001aa007877_T007",TRUE,"Master Protein","Ag00001aa007877_T007",38,9,20,387,NA,1.17,0.449685589879829,0.994638273710936,104.2,121.9,16,2.78,71.5,99.2,76.4,37.8,71.6,64.6,111.7,99.2,80.8,111.5,116.1,117.7,"High","High","High","High","High","High"
"Ag00001aa086158_T001",TRUE,"Master Protein","Ag00001aa086158_T001",33,6,23,203,NA,1.06,0.999959885346036,1,85.6,90.7,8.77,8.36,474.2,754.9,819.9,238.5,493.5,454,740.8,754.9,866.9,703.4,799.9,826.9,"High","High","High","High","High","High"
"Ag00001aa094213_T001",TRUE,"Master Protein","Ag00001aa094213_T001",36,9,18,327,NA,0.755,0.00311204613399241,0.0420536306123751,108.7,82,2.17,2.47,569.5,874.4,805.9,223.7,397.9,372,889.7,874.4,852.1,659.8,644.9,677.5,"High","High","High","High","High","High"
"Ag00001aa024697_T001",TRUE,"Master Protein","Ag00001aa024697_T001",11,17,18,1708,NA,0.875,0.95690931142649,1,81.8,71.6,6.61,4.42,363.8,586.8,487.9,165.2,327,273.2,568.4,586.8,515.8,487.2,530,497.6,"High","High","High","High","High","High"
"Ag00001aa136334_T001",TRUE,"Master Protein","Ag00001aa136334_T001",30,8,21,428,NA,0.954,0.979905971304931,1,84.9,81,9.63,15.38,499,810.9,636,252.1,588.9,403,779.6,810.9,672.4,743.5,954.5,734,"High","High","High","High","High","High"
"Ag00001aa101633_T001",TRUE,"Master Protein","Ag00001aa101633_T001",26,6,25,249,NA,0.893,0.265516614894785,0.729323117279469,116.8,104.3,8.76,2.25,701.8,1195.7,1235.6,361.9,661.6,564.9,1096.4,1195.7,1306.4,1067.4,1072.4,1028.9,"High","High","High","High","High","High"
"Ag00001aa112528_T001",TRUE,"Master Protein","Ag00001aa112528_T001",38,9,18,311,NA,1.291,0.929738595416561,1,86.3,111.4,19.26,14.14,25.6,53.9,36.4,17.5,37.2,25,40,53.9,38.5,51.6,60.3,45.5,"High","High","High","High","High","High"
"Ag00001aa094776_T001",TRUE,"Master Protein","Ag00001aa094776_T001",60,4,31,88,NA,0.551,8.65752953593812e-05,0.00574634529669289,107.1,59,16.64,13.35,659.8,928.2,1208.3,192.6,301.1,350.7,1030.8,928.2,1277.5,568,488,638.7,"High","High","High","High","High","High"
"Ag00001aa076177_T001",TRUE,"Master Protein","Ag00001aa076177_T001",63,6,24,134,NA,0.411,0.261643418848373,0.722096056096045,136.5,56,26.2,30.47,991.8,1304.6,851.5,181.6,328.3,480.8,1549.4,1304.6,900.3,535.6,532.1,875.7,"High","High","High","High","High","High"
"Ag00001aa014645_T001",TRUE,"Master Protein","Ag00001aa014645_T001",38,11,21,371,NA,0.959,0.999916815859432,1,106.1,101.8,3.47,5.98,419.2,675,595.6,208.7,387.5,377.5,654.9,675,629.7,615.5,628.1,687.5,"High","High","High","High","High","High"
"Ag00001aa002842_T002",TRUE,"Master Protein","Ag00001aa002842_T002",30,5,24,269,NA,0.657,6.45353416187655e-05,0.00470009519917094,126.1,82.9,6.69,13.59,1122.1,1541.1,1614.4,302.6,691.9,635.3,1753,1541.1,1706.9,892.5,1121.5,1157.1,"High","High","High","High","High","High"
"Ag00001aa007426_T001",TRUE,"Master Protein","Ag00001aa007426_T001",26,7,31,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
"Ag00001aa011709_T002",TRUE,"Master Protein","Ag00001aa011709_T002",13,7,14,779,NA,1.201,0.833003897645103,1,103.2,123.9,10.61,6.38,395.5,695.2,723.4,283,573.1,456.8,617.9,695.2,764.8,834.7,928.9,832,"High","High","High","High","High","High"
"Ag00001aa152096_T001",TRUE,"Master Protein","Ag00001aa152096_T001",28,10,14,594,NA,1.167,0.153505723298429,0.504037493797218,71.7,83.7,3.59,0.64,289.4,426.8,400.7,168.9,304.1,273.8,452.1,426.8,423.6,498.1,492.9,498.7,"High","High","High","High","High","High"
"Ag00001aa052179_T002",TRUE,"Master Protein","Ag00001aa052179_T002",39,7,20,263,NA,1.054,0.997758392856089,1,69.9,73.7,14.42,14.51,391.6,646.7,754.5,251.1,420.6,304,611.8,646.7,797.7,740.6,681.7,553.7,"High","High","High","High","High","High"
"Ag00001aa134152_T001",TRUE,"Master Protein","Ag00001aa134152_T001",25,8,18,406,NA,0.81,0.0815870034139862,0.336978564713113,80.2,65,9.38,2.41,48.6,74.4,60.2,19.6,37.2,33.1,75.9,74.4,63.6,57.8,60.3,60.3,"High","High","High","High","High","High"
"Ag00001aa030512_T001",TRUE,"Master Protein","Ag00001aa030512_T001",30,8,20,447,NA,1.141,0.778788280497796,1,152.7,174.2,7.56,9.95,101.5,138.5,133,54.4,113.7,83.8,158.6,138.5,140.6,160.4,184.3,152.6,"High","High","High","High","High","High"
"Ag00001aa026379_T001",TRUE,"Master Protein","Ag00001aa026379_T001",21,14,19,915,NA,1.423,0.0497517017421846,0.24536591331747,83.6,119.1,5.44,9.62,322.4,499.6,520.5,252.7,442.3,339.4,503.7,499.6,550.3,745.3,716.9,618.2,"High","High","High","High","High","High"
"Ag00001aa036451_T002",TRUE,"Master Protein","Ag00001aa036451_T002",39,12,20,461,NA,1.039,0.95192706630667,1,95.2,98.9,9.2,9.07,395.7,710.8,699.6,270.9,455.8,365.6,618.2,710.8,739.7,799,738.8,665.9,"High","High","High","High","High","High"
"Ag00001aa093375_T001",TRUE,"Master Protein","Ag00001aa093375_T001",28,12,17,599,NA,1.225,0.990696953270194,1,139.1,170.3,36.41,14.69,447.1,1340.8,758.6,333.1,590,679.6,698.5,1340.8,802,982.4,956.3,1237.8,"High","High","High","High","High","High"
"Ag00001aa061059_T001",TRUE,"Master Protein","Ag00001aa061059_T001",22,6,19,254,NA,1.53,0.00767634737456435,0.0675727257317915,59.5,91,8.74,6.03,83.7,127,104.6,70.5,113.8,106.7,130.8,127,110.6,207.9,184.5,194.3,"High","High","High","High","High","High"
"Ag00001aa009863_T001",TRUE,"Master Protein","Ag00001aa009863_T001",20,5,55,391,NA,1.439,0.946328758035644,1,118.4,170.4,32.2,40.68,68.8,205.7,139.2,71.8,78.5,165.1,107.5,205.7,147.2,211.8,127.2,300.7,"High","High","High","High","High","High"
"Ag00001aa131850_T001",TRUE,"Master Protein","Ag00001aa131850_T001",33,5,23,263,NA,0.72,0.00900062491682929,0.0757513079143473,65.4,47.1,10.29,13.31,57.5,87.3,99.5,19.6,39.9,41.3,89.8,87.3,105.2,57.8,64.7,75.2,"High","High","High","High","High","High"
"Ag00001aa072729_T001",TRUE,"Master Protein","Ag00001aa072729_T001",15,4,16,488,NA,0.829,0.0634873461462327,0.28740228622896,123.7,102.6,6.8,4.4,431.1,726.1,730.1,204.2,379.8,310.3,673.5,726.1,771.9,602.3,615.6,565.2,"High","High","High","High","High","High"
"Ag00001aa118663_T001",TRUE,"Master Protein","Ag00001aa118663_T001",19,9,16,671,NA,1.135,0.69148396995518,1,86.3,97.9,5.91,6.53,362.4,521.5,478.2,210.1,335.7,325,566.2,521.5,505.6,619.7,544.1,591.9,"High","High","High","High","High","High"
"Ag00001aa157377_T001",TRUE,"Master Protein","Ag00001aa157377_T001",25,8,23,350,NA,0.792,0.0328490939468927,0.185504864497171,112.2,88.9,3.22,7.07,1077.4,1578.7,1534.7,435.7,732.2,750.9,1683.2,1578.7,1622.6,1285,1186.8,1367.6,"High","High","High","High","High","High"
"Ag00001aa028766_T001",TRUE,"Master Protein","Ag00001aa028766_T001",28,10,16,563,NA,0.984,0.988230812478825,1,101.1,99.5,5.46,0.55,511.2,719,700.8,245.7,449.6,402.3,798.6,719,740.9,724.7,728.7,732.7,"High","High","High","High","High","High"
"Ag00001aa032609_T004",TRUE,"Master Protein","Ag00001aa032609_T004",21,11,15,729,NA,2.193,0.000628397704209749,0.0165152325061983,71.3,156.4,7.48,33.52,226.6,399.7,385.6,268,880.9,481.3,354,399.7,407.7,790.4,1427.8,876.6,"High","High","High","High","High","High"
"Ag00001aa034222_T001",TRUE,"Master Protein","Ag00001aa034222_T001",22,6,16,441,NA,1.108,0.89847322106442,1,69.5,77.1,10.03,14.27,142.2,239,255.7,111.9,157.9,145.4,222.2,239,270.3,330,255.9,264.8,"High","High","High","High","High","High"
"Ag00001aa089095_T002",TRUE,"Master Protein","Ag00001aa089095_T002",27,8,28,376,NA,1.157,0.99616206200488,1,83.3,96.4,16.51,0.55,56,93.2,112,36.5,67.1,59.2,87.5,93.2,118.4,107.7,108.8,107.8,"High","High","High","High","High","High"
"Ag00001aa067981_T001",TRUE,"Master Protein","Ag00001aa067981_T001",53,8,32,160,"Met-loss+Acetyl [N-Term]",0.924,0.615110372994253,1,141.1,130.4,13.59,5.03,579.8,1039.3,1125.1,325.6,595.1,483.7,905.8,1039.3,1189.5,960.3,964.6,881,"High","High","High","High","High","High"
"Ag00001aa091015_T002",TRUE,"Master Protein","Ag00001aa091015_T002",38,6,31,173,NA,0.492,0.0120119414111292,0.0932657576643116,76.7,37.7,26.29,11.36,345.2,436.6,691.7,83.9,163.8,169.1,539.3,436.6,731.3,247.5,265.5,308,"High","High","High","High","High","High"
"Ag00001aa108322_T002",TRUE,"Master Protein","Ag00001aa108322_T002",47,10,22,289,NA,0.752,0.00677048455363838,0.0617884833539907,76.4,57.5,3.8,8.23,405.5,592.8,599.4,181.3,294.1,251.1,633.5,592.8,633.7,534.7,476.7,457.3,"High","High","High","High","High","High"
"Ag00001aa146021_T001",TRUE,"Master Protein","Ag00001aa146021_T001",22,7,16,484,NA,0.87,0.645708157644954,1,97.8,85.2,16.99,5.76,317.6,537.9,644.5,173.9,288.8,253.8,496.2,537.9,681.4,512.9,468.1,462.3,"High","High","High","High","High","High"
"Ag00001aa097243_T001",TRUE,"Master Protein","Ag00001aa097243_T001",40,7,87,155,NA,1.114,0.59555120704469,1,59.2,66,10.02,10.63,133.2,177.9,204.3,78.6,124.9,137.6,208.1,177.9,216,231.8,202.4,250.6,"High","High","High","High","High","High"
"Ag00001aa006909_T002",TRUE,"Master Protein","Ag00001aa006909_T002",26,13,21,564,NA,1.024,0.999999999558263,1,84.8,86.9,11.7,14.63,62.8,118.5,91.4,31.3,62,67,98.1,118.5,96.6,92.3,100.5,122,"High","High","High","High","High","High"
"Ag00001aa140147_T001",TRUE,"Master Protein","Ag00001aa140147_T001",11,6,12,778,NA,0.92,0.999677423102579,1,53.8,49.5,19.56,21.37,11,20.2,23.9,8.1,9.7,10.2,17.2,20.2,25.3,23.9,15.7,18.6,"High","High","High","High","High","High"
"Ag00001aa030665_T001",TRUE,"Master Protein","Ag00001aa030665_T001",45,9,44,233,NA,0.749,0.999399037215303,1,49.2,36.9,28.93,44.67,5.7,16.3,12.9,6.3,6.3,4.5,8.9,16.3,13.6,18.6,10.2,8.2,"High","High","High","High","High","High"
"Ag00001aa114895_T001",TRUE,"Master Protein","Ag00001aa114895_T001",18,11,17,886,NA,0.854,0.834510651043897,1,143,122.2,3.31,8.66,448.4,678.8,620.1,192.6,357.8,364.6,700.5,678.8,655.6,568,579.9,664.1,"High","High","High","High","High","High"
"Ag00001aa032996_T001",TRUE,"Master Protein","Ag00001aa032996_T001",34,5,31,214,NA,0.942,0.787421101433525,1,62,58.4,8.85,8.92,157.6,227.6,256.7,80.9,124.1,127.3,246.2,227.6,271.4,238.6,201.1,231.9,"High","High","High","High","High","High"
"Ag00001aa090761_T001",TRUE,"Master Protein","Ag00001aa090761_T001",17,12,19,816,NA,0.731,0.017310476599694,0.119566540733718,81.2,59.3,19.75,6.06,417.9,556.7,412.9,125.2,250.9,227.4,652.9,556.7,436.5,369.3,406.7,414.2,"High","High","High","High","High","High"
"Ag00001aa097249_T001",TRUE,"Master Protein","Ag00001aa097249_T001",35,11,30,369,NA,0.864,0.856461504512055,1,120.3,104,3.97,9.34,37.4,62.1,59.6,16,33.1,31.2,58.4,62.1,63,47.2,53.7,56.8,"High","High","High","High","High","High"
"Ag00001aa019732_T001",TRUE,"Master Protein","Ag00001aa019732_T001",40,7,53,170,NA,0.643,0.00228450797405078,0.0347129590782682,78.1,50.2,17.86,5.16,1528.6,2235.8,2929.3,527.4,871.4,843.1,2388.1,2235.8,3097.1,1555.5,1412.4,1535.6,"High","High","High","High","High","High"
"Ag00001aa107746_T001",TRUE,"Master Protein","Ag00001aa107746_T001",22,8,21,492,NA,0.886,0.150652221997494,0.498932673293981,126.5,112.1,18.21,14.95,549.8,841.1,1087,201.6,469.7,436.3,858.9,841.1,1149.3,594.6,761.3,794.6,"High","High","High","High","High","High"
"Ag00001aa009906_T001",TRUE,"Master Protein","Ag00001aa009906_T001",22,13,19,803,NA,0.786,0.00213617764459872,0.0334980055904647,79.9,62.8,6.75,6.8,472.2,679.6,610.9,169.7,329.5,314.8,737.7,679.6,645.9,500.5,534.1,573.4,"High","High","High","High","High","High"
"Ag00001aa113654_T001",TRUE,"Master Protein","Ag00001aa113654_T001",35,8,16,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High","High","High","High","High","High"
