"Checked","Protein_FDR_Confidence_Combined","Master","Accession","Description","Exp_q_value_Combined","Sum_PEP_Score","Coverage","Peptides","PSMs","Unique_Peptides","AAs","MW_kDa","calc_pI","Score_Sequest_HT_Sequest_HT","Peptides_by_Search_Engine_Sequest_HT","Biological_Process","Cellular_Component","Molecular_Function","Pfam_IDs","Entrez_Gene_ID","Gene_ID","Gene_Symbol","Ensembl_Gene_ID","Protein_Pathway_Groups","Razor_Peptides","Abundance_Ratio_Winter_Summer","Abundance_Ratio_P_Value_Winter_Summer","Abundances_Grouped_Summer","Abundances_Grouped_Winter","Abundances_Grouped_CV_Summer","Abundances_Grouped_CV_Winter","Abundance_C002_summer","Abundance_C004_summer","Abundance_C022_summer","Abundance_C031_summer","Abundance_C071-1_summer","Abundance_C071-2_summer","Abundance_C071-3_summer","Abundance_C076_summer","Abundance_C002_winter","Abundance_C004_winter","Abundance_C022_winter","Abundance_C031_winter","Abundance_C071-1_winter","Abundance_C071-2_winter","Abundance_C071-3_winter","Abundance_C076_winter","Abundances_Normalized_C002_summer","Abundances_Normalized_C004_summer","Abundances_Normalized_C022_summer","Abundances_Normalized_C031_summer","Abundances_Normalized_C071-1_summer","Abundances_Normalized_C071-2_summer","Abundances_Normalized_C071-3_summer","Abundances_Normalized_C076_summer","Abundances_Normalized_C002_winter","Abundances_Normalized_C004_winter","Abundances_Normalized_C022_winter","Abundances_Normalized_C031_winter","Abundances_Normalized_C071-1_winter","Abundances_Normalized_C071-2_winter","Abundances_Normalized_C071-3_winter","Abundances_Normalized_C076_winter","Found_in_Sample_S369_C002_summer","Found_in_Sample_S370_C004_summer","Found_in_Sample_S371_C022_summer","Found_in_Sample_S372_C031_summer","Found_in_Sample_S373_C071-1_summer","Found_in_Sample_S374_C071-2_summer","Found_in_Sample_S375_C071-3_summer","Found_in_Sample_S376_C076_summer","Found_in_Sample_S377_C002_winter","Found_in_Sample_S378_C004_winter","Found_in_Sample_S379_C022_winter","Found_in_Sample_S380_C031_winter","Found_in_Sample_S381_C071-1_winter","Found_in_Sample_S382_C071-2_winter","Found_in_Sample_S383_C071-3_winter","Found_in_Sample_S384_C076_winter","Protein_Groups","Modifications"
TRUE,"High","Master Protein","TdactyloidesS_mRNA28160","TdactyloidesS_mRNA28160",0,111.15,45,15,41,15,461,47.9,8.28,155.42,15,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA28160",NA,NA,0,0,1.405,0.280110503233457,83.2,116.8,23.2,21.66,484.2,580,506.9,424,603.7,1107.9,1404,596.6,933,619.8,510.5,1049,686.6,742.7,1163,930.6,1725.9,1278.3,1666.8,868.3,1032.3,1107.9,1479.6,1294.6,2237.9,1350.5,1530.4,2056.5,1709.9,1666.9,1910.5,2606.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA343","TdactyloidesS_mRNA343",0,13.662,14,3,7,1,222,24.4,6.35,23.85,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA343",NA,NA,0,0,0.607,0.281285249672472,124.4,75.6,25.64,21.47,7.2,15.9,11.1,24.9,16.4,38.3,26,12.2,8.5,10.5,8.4,8,8,8.1,7.9,5.6,25.7,35,36.5,51,28,38.3,27.4,26.5,20.4,22.9,25.2,15.7,19.9,18.2,13,15.7,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA36682","TdactyloidesS_mRNA36682",0,20.198,7,3,6,1,594,67.7,8.07,23.85,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA36682",NA,NA,0,0,0.6,0.281312047942897,125,75,42.17,21.41,0,14.4,4.9,28.3,27.5,47.1,23.6,11.9,7.7,9.6,8,8,9.6,6,8.9,7,0,31.7,16.1,58,47,47.1,24.9,25.8,18.5,20.9,24,15.7,23.9,13.5,14.6,19.6,"Not Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA51764","TdactyloidesS_mRNA51764",0,19.103,14,6,6,6,545,59.4,6.65,19.08,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA51764",NA,NA,0,0,1.373,0.281707368862401,84.3,115.7,21.7,11.45,16.4,38.6,25.3,24.1,34.5,83.3,60.1,25,38,37.7,28.5,42.6,24,37.6,48.8,30.4,58.5,85.1,83.2,49.4,59,83.3,63.3,54.2,91.1,82.1,85.4,83.5,59.8,84.4,80.2,85.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA29639","TdactyloidesS_mRNA29639",0,77.119,57,11,47,6,218,23.7,6.2,154,11,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA29639",NA,NA,0,0,0.72,0.282351543885358,116.3,83.7,27.92,21.18,156.2,375.6,164.3,427.2,276,892.7,486.8,238.1,168.9,293.7,156.1,187.2,188.9,168.4,226.6,137.3,556.8,827.8,540.3,874.9,471.9,892.7,513,516.7,405.1,639.9,468,367,470.4,378,372.2,384.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA41709","TdactyloidesS_mRNA41709",0,126.091,51,9,352,1,153,16.5,10.02,1328.85,9,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA41709",NA,NA,0,0,0.691,0.282370871866133,118.2,81.8,58.52,28.94,196,344.2,209.7,307.8,63.9,208.4,279.9,108,81.8,215,124.1,148,88.1,137.9,186.5,89.9,698.6,758.6,689.6,630.4,109.3,208.4,295,234.4,196.2,468.5,372,290.1,219.4,309.5,306.4,251.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA26301","TdactyloidesS_mRNA26301",0,7.082,12,2,2,2,286,31.1,7.12,7.22,2,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA26301",NA,NA,0,0,0.599,0.282383869030082,125.1,74.9,15.72,14.46,20.5,40.1,25.3,48.1,38.4,66.4,69.2,30.5,19.4,19.8,12.7,22.6,18,16.7,32.8,12.2,73.1,88.4,83.2,98.5,65.7,66.4,72.9,66.2,46.5,43.1,38.1,44.3,44.8,37.5,53.9,34.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA54646","TdactyloidesS_mRNA54646",0,7.792,6,3,3,3,661,74.4,5.97,8.33,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA54646",NA,NA,0,0,1.354,0.283091838904237,85,115,26.43,20.78,29.3,47.3,44.6,33.6,53.9,66.6,91.7,56.9,58,49.2,37.4,76.2,29.5,59.3,84.5,53,104.4,104.3,146.7,68.8,92.2,66.6,96.6,123.5,139.1,107.2,112.1,149.4,73.5,133.1,138.8,148.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA5006","TdactyloidesS_mRNA5006",0,19.759,33,3,9,2,165,17.4,5.01,32.47,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA5006",NA,NA,0,0,0.61,0.283427082332525,124.2,75.8,68.7,23.02,0,3.8,0,7.6,23.3,38.2,48.2,38.9,0,0,0,8.5,8.9,10.6,15,11.4,0,8.4,0,15.6,39.8,38.2,50.8,84.4,0,0,0,16.7,22.2,23.8,24.6,31.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA46108","TdactyloidesS_mRNA46108",0,28.044,31,8,20,6,224,25.2,6.24,68.33,8,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA46108",NA,NA,0,0,0.59,0.283491804086196,125.8,74.2,45.24,33.31,7.6,8.6,21.8,9.9,30.3,59,56.9,29,10.5,7,8.9,14.7,15.9,22.4,24.2,13.2,27.1,19,71.7,20.3,51.8,59,60,62.9,25.2,15.3,26.7,28.8,39.6,50.3,39.8,37,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA7448","TdactyloidesS_mRNA7448",0,97.868,50,19,67,15,366,39.9,6.93,230.1,19,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA7448",NA,NA,0,3,1.401,0.284164014002759,83.3,116.7,29.47,14.91,493.5,1413.6,605.2,1950.2,1506.8,3211.4,2018.1,967.1,1164,1721.8,1292.4,1751.2,1700.5,1324.1,1907.3,1084.3,1759.1,3115.6,1990.1,3994,2576.5,3211.4,2126.8,2098.5,2792,3751.7,3874.5,3433.1,4235,2971.8,3133.1,3037.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA1795","TdactyloidesS_mRNA1795",0,92.853,42,13,67,5,435,46.8,7.25,242.18,13,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA1795",NA,NA,0,0,0.721,0.284384310138338,116.2,83.8,66.04,26.51,539.2,319.4,549.2,126,284,483.8,815.3,434.2,311.2,214.9,175.6,328.5,189.2,422.7,357.3,191.1,1922,704,1805.9,258,485.6,483.8,859.2,942.2,746.4,468.3,526.4,644,471.2,948.7,586.9,535.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA67456","TdactyloidesS_mRNA67456",0,161.989,61,26,85,9,618,67.7,5.99,277.26,26,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA67456",NA,NA,0,17,0.721,0.284395605659573,116.2,83.8,28.04,17.37,861.6,791.4,515.9,814.6,1923.3,2310.8,2360.3,873.2,693.8,464.3,385.4,629.6,600.3,737,950.2,543.1,3071.1,1744.3,1696.4,1668.3,3288.7,2310.8,2487.4,1894.8,1664.1,1011.7,1155.4,1234.3,1495,1654.1,1560.9,1521.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA42130","TdactyloidesS_mRNA42130",0,20.127,18,4,4,4,393,42.8,8.68,16.51,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA42130",NA,NA,0,0,0.623,0.284554636139179,123.2,76.8,71.8,81.01,10.8,89,17.5,104.9,61.9,122.6,34.9,16.2,18.3,100.5,39.7,21.3,70.2,14.7,32.8,11.6,38.5,196.2,57.5,214.8,105.8,122.6,36.8,35.2,43.9,219,119,41.8,174.8,33,53.9,32.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA2339","TdactyloidesS_mRNA2339",0,37.932,29,9,12,9,476,50.1,8.24,42.21,9,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA2339",NA,NA,0,0,0.628,0.285092396110731,122.8,77.2,17.45,27.01,38.3,46.9,42.8,52.7,51,89.9,103.5,51.7,42.6,23.4,22.2,53.3,32.3,31.1,34,22.6,136.5,103.4,140.7,107.9,87.2,89.9,109.1,112.2,102.2,51,66.6,104.5,80.4,69.8,55.9,63.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA8841","TdactyloidesS_mRNA8841",0,31.318,13,10,12,9,1135,125.8,6.3,35.43,10,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA8841",NA,NA,0,0,1.311,0.285458972800356,86.5,113.5,36.44,31.85,32.7,42.9,59.2,33.4,57,73,110.6,67.3,75.6,51.6,36.3,97.5,30.9,91.1,73.4,57.8,116.6,94.6,194.7,68.4,97.5,73,116.6,146,181.3,112.4,108.8,191.1,77,204.5,120.6,161.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA24608","TdactyloidesS_mRNA24608",0,123.288,66,10,365,2,247,27,5.43,1769.16,10,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA24608",NA,NA,0,0,0.687,0.285535025059443,118.6,81.4,73.2,60.69,291.2,89.1,43.8,52,351.6,689.9,704.3,110.9,267.2,127,28.5,125.7,143,197.4,90.8,63.1,1038,196.4,144,106.5,601.2,689.9,742.2,240.6,640.9,276.7,85.4,246.4,356.1,443,149.2,176.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA19899","TdactyloidesS_mRNA19899",0,26.834,10,5,7,5,924,96.6,8.25,26.5,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA19899",NA,NA,0,0,0.607,0.286143421876686,124.5,75.5,45.31,20.31,55.9,39.7,29.9,31.4,47.5,59.1,107.8,37.4,28.4,22.3,15.7,31.5,17,33.2,30.4,18.7,199.3,87.5,98.3,64.3,81.2,59.1,113.6,81.2,68.1,48.6,47.1,61.8,42.3,74.5,49.9,52.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA41812","TdactyloidesS_mRNA41812",0,117.691,50,9,344,1,148,16.1,10.05,1302.35,9,"cell organization and biogenesis","nucleus;other cell component","nucleic acid binding activity;other molecular function","Pf00125","100274083","A0A3L6FJ63; B4FYZ0; TdactyloidesS_mRNA41812; zma:100274083","H2B1_2",NA,0,1,0.722,0.286227854337861,116.2,83.8,32.22,23.24,541.1,719.3,455.6,549.9,523.4,659.1,1138.5,522,241.2,441.8,254.3,467.4,233.1,504.8,470.2,331.5,1928.7,1585.4,1498.1,1126.2,895,659.1,1199.8,1132.7,578.5,962.6,762.4,916.3,580.5,1133,772.4,928.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA10546","TdactyloidesS_mRNA10546",0,4.775,10,2,2,2,375,40.1,9.22,6.49,2,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA10546",NA,NA,0,0,0.658,0.28649836210285,120.6,79.4,29.08,27.86,67.8,56,46,66.2,158.8,212.2,189.7,68.4,65.1,36.6,58.9,54.6,45.1,52,80.1,29.6,241.7,123.4,151.3,135.6,271.5,212.2,199.9,148.4,156.1,79.7,176.6,107,112.3,116.7,131.6,82.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,"Met-loss [N-Term]"
TRUE,"High","Master Protein","TdactyloidesS_mRNA39877","TdactyloidesS_mRNA39877",0,23.765,30,6,8,5,250,27.6,8.69,25.65,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA39877",NA,NA,0,0,0.628,0.28659558319261,122.9,77.1,28.76,25.97,28,60.3,31.5,60.5,36.7,78,77.4,28.1,32.9,32.8,16.5,42.8,22.4,23.7,35,13.3,99.8,132.9,103.6,123.9,62.8,78,81.6,61,78.9,71.5,49.5,83.9,55.8,53.2,57.5,37.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA12297","TdactyloidesS_mRNA12297",0,19.296,21,3,6,2,187,21.2,4.32,20.8,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA12297",NA,NA,0,1,1.331,0.286837791654602,85.8,114.2,18.64,34.67,23,52.6,37.2,41.2,50.1,85.4,77.2,35.8,43.7,92.7,41.5,62.1,33.1,37.7,49.7,52.6,82,115.9,122.3,84.4,85.7,85.4,81.4,77.7,104.8,202,124.4,121.7,82.4,84.6,81.6,147.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA14590","TdactyloidesS_mRNA14590",0,72.403,22,16,23,16,1091,123.2,6.52,80.37,16,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA14590",NA,NA,0,0,1.381,0.287054087987143,84,116,34.45,26.71,130.9,166.4,173.8,99.9,148.1,255.1,344.2,211.9,226.4,195.1,125,303.3,98.1,254.9,284.4,221.5,466.6,366.8,571.5,204.6,253.2,255.1,362.7,459.8,543,425.1,374.7,594.6,244.3,572.1,467.2,620.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA14389","TdactyloidesS_mRNA14389",0,62.446,34,12,20,6,525,54.8,6.48,78.83,12,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA14389",NA,NA,0,2,1.302,0.287090687727553,86.9,113.1,20.42,17.41,39.7,50,38.3,67.1,63.1,194.7,120.5,57.2,68.9,47.5,40.6,87.7,72.2,74.7,93.3,58.6,141.5,110.2,125.9,137.4,107.9,194.7,127,124.1,165.3,103.5,121.7,171.9,179.8,167.7,153.3,164.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA65986","TdactyloidesS_mRNA65986",0,12.32,5,3,5,1,586,66.9,8.57,16.32,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA65986",NA,NA,0,1,0.641,0.287120228452655,121.9,78.1,26.99,16.26,39.8,62.1,43.6,95.2,110.3,229.2,130.5,43.4,38.6,47.5,36.1,42.4,36.2,28,63.9,30.3,141.9,136.9,143.4,195,188.6,229.2,137.5,94.2,92.6,103.5,108.2,83.1,90.2,62.8,105,84.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA36323","TdactyloidesS_mRNA36323",0,17.048,14,2,4,2,206,22.8,7.88,16.2,2,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA36323",NA,NA,0,0,0.637,0.287206154463137,122.2,77.8,23.86,16.17,21.7,51.7,23.4,66.7,66.7,117.4,118.9,33.4,35,33.6,20.6,46.1,28.9,34.3,38.8,19.8,77.3,113.9,76.9,136.6,114.1,117.4,125.3,72.5,84,73.2,61.8,90.4,72,77,63.7,55.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA50177","TdactyloidesS_mRNA50177",0,15.159,10,4,5,1,506,55.2,6.71,13.35,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA50177",NA,NA,0,0,0.619,0.287942184413139,123.5,76.5,22.47,24.63,7.2,12.3,8.8,8.2,20.5,31.8,34.9,16.6,13.2,8.7,6.2,8.5,8,7,13.2,6.6,25.7,27.1,28.9,16.8,35.1,31.8,36.8,36,31.7,19,18.6,16.7,19.9,15.7,21.7,18.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA38707","TdactyloidesS_mRNA38707",0,13.419,22,3,9,2,216,21.6,8.48,28.92,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA38707",NA,NA,0,0,0.633,0.287972794868755,122.5,77.5,55.35,46.29,30.5,117.1,31.4,51,119.7,124.8,69.3,19.3,17.3,54.5,25.8,31.3,29.8,33.7,20,10.4,108.7,258.1,103.3,104.4,204.7,124.8,73,41.9,41.5,118.8,77.3,61.4,74.2,75.6,32.9,29.1,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA30308","TdactyloidesS_mRNA30308",0,22.713,18,7,9,7,491,53.5,6.33,29.3,7,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA30308",NA,NA,0,0,0.613,0.288236079368578,124,76,86.2,33.1,4.7,0,13.2,0,7.2,19.1,93.2,15.4,9.1,0,0,5.4,6.7,6.4,15.4,4.6,16.8,0,43.4,0,12.3,19.1,98.2,33.4,21.8,0,0,10.6,16.7,14.4,25.3,12.9,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA20508","TdactyloidesS_mRNA20508",0,10.7,20,3,4,3,164,18.2,8.59,12.79,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA20508",NA,NA,0,0,1.361,0.289655036529408,84.7,115.3,21.81,17.99,14.2,32.8,17,28.6,21.9,44.7,55.2,33.5,31.5,44.6,27.1,39.2,19.1,34.9,44.9,29.2,50.6,72.3,55.9,58.6,37.4,44.7,58.2,72.7,75.6,97.2,81.2,76.8,47.6,78.3,73.8,81.8,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA30372","TdactyloidesS_mRNA30372",0,32.142,16,6,10,4,650,72.1,7.25,35.8,6,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA30372",NA,NA,0,2,0.674,0.289769825847048,119.5,80.5,33.88,16.51,157.3,133.3,160,118.3,185.9,227.4,395.4,162.5,101.4,115.7,77.2,92,80.9,109.7,133.8,54,560.7,293.8,526.1,242.3,317.9,227.4,416.7,352.6,243.2,252.1,231.4,180.4,201.5,246.2,219.8,151.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA16515","TdactyloidesS_mRNA16515",0,36.249,27,4,59,3,200,21.2,7.62,249.63,4,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA16515",NA,NA,0,1,1.396,0.289842195507928,83.5,116.5,41.51,13.01,277.1,304.5,191.7,278,680.1,966.9,888.6,840.1,464.1,718.4,394,712.4,621.9,531.5,768.7,514.5,987.7,671.1,630.4,569.3,1162.9,966.9,936.5,1822.9,1113.2,1565.3,1181.2,1396.6,1548.8,1192.9,1262.7,1441.2,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA30462","TdactyloidesS_mRNA30462",0,11.595,5,3,5,2,585,66.2,7.09,16.75,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA30462",NA,NA,0,1,0.663,0.290060689139054,120.2,79.8,49.72,23.7,38.1,141.5,50.4,227.8,147.6,320.4,125.2,66,63.4,76.3,64.7,59.7,55.3,40.9,67.3,47.7,135.8,311.9,165.7,466.5,252.4,320.4,131.9,143.2,152.1,166.3,194,117,137.7,91.8,110.6,133.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA54493","TdactyloidesS_mRNA54493",0,200.033,65,23,119,19,503,56.3,5.74,464.09,23,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA54493",NA,NA,0,6,0.724,0.2901668570047,116,84,20.42,15.06,556,1231.5,725.3,1166,2026.4,2156.3,2633.7,1562,945.6,635.3,653.8,778.5,693.6,819.8,1122.8,694.8,1981.8,2714.3,2385,2388,3465,2156.3,2775.5,3389.4,2268.1,1384.3,1960,1526.2,1727.4,1840,1844.4,1946.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA21573","TdactyloidesS_mRNA21573",0,34.158,33,7,11,2,265,29.3,9.17,39.66,7,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA21573",NA,NA,0,5,1.355,0.29036356259415,84.9,115.1,24.42,37.24,76,159.9,74,195,179.2,236.2,168.9,135.2,94,287.8,148.7,120,200.9,116.3,208.2,152.2,270.9,352.4,243.3,399.4,306.4,236.2,178,293.4,225.5,627.1,445.8,235.3,500.3,261,342,426.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA68983","TdactyloidesS_mRNA68983",0,8.837,31,2,3,2,67,7.6,9.91,9.76,2,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA68983",NA,NA,0,0,0.654,0.290608443328999,120.9,79.1,31.98,33.89,44.7,152.5,60.6,142.6,130.3,182.5,150.6,69.3,52.8,112,46.6,62.7,51.1,42.8,68.6,40.2,159.3,336.1,199.3,292,222.8,182.5,158.7,150.4,126.6,244,139.7,122.9,127.3,96.1,112.7,112.6,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA36781","TdactyloidesS_mRNA36781",0,10.528,9,3,5,2,331,35.6,6.98,13.71,3,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA36781",NA,NA,0,0,0.65,0.290725848660406,121.2,78.8,28.34,19.98,59.3,91,77.9,50.3,87.8,122.9,161.4,87.4,52.5,66.3,40.7,61.3,37.6,50.6,50.9,29.4,211.4,200.6,256.2,103,150.1,122.9,170.1,189.7,125.9,144.5,122,120.2,93.6,113.6,83.6,82.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA4409","TdactyloidesS_mRNA4409",0.001,3.72,10,2,2,2,220,22.9,9.85,5.63,2,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA4409",NA,NA,0,0,1.327,0.291780619829092,86,114,31.7,48.8,38.6,113.4,60.5,90.5,61.6,123.9,113.4,61.6,69.4,180.2,73.1,77.1,103.4,40.5,118.4,38,137.6,249.9,198.9,185.3,105.3,123.9,119.5,133.7,166.5,392.6,219.1,151.1,257.5,90.9,194.5,106.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA46269","TdactyloidesS_mRNA46269",0,50.543,27,11,15,11,682,74.9,5.8,55.25,11,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA46269",NA,NA,0,0,1.357,0.292025446276629,84.9,115.1,30.63,31.87,24,34.5,13.3,18.7,41.7,51.1,57.5,18.4,33.5,30.7,13.3,56.3,20.8,38,43.2,37.6,85.5,76,43.7,38.3,71.3,51.1,60.6,39.9,80.4,66.9,39.9,110.4,51.8,85.3,71,105.3,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA11223","TdactyloidesS_mRNA11223",0,24.547,27,5,6,5,363,39.3,8.06,25.29,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA11223",NA,NA,0,0,1.376,0.292029491586564,84.2,115.8,50.54,41.34,5.1,6.8,5.9,12.9,15,14.2,49.5,18.4,15.6,5.6,5.5,18.4,13.6,12.4,25.3,5.5,18.2,15,19.4,26.4,25.6,14.2,52.2,39.9,37.4,12.2,16.5,36.1,33.9,27.8,41.6,15.4,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
TRUE,"High","Master Protein","TdactyloidesS_mRNA46890","TdactyloidesS_mRNA46890",0,23.092,7,5,6,5,1006,113,6.52,19.31,5,NA,NA,NA,NA,NA,"TdactyloidesS_mRNA46890",NA,NA,0,0,1.3,0.29217290403928,86.9,113.1,26.86,26.43,41.7,52.6,56.9,37.2,78.6,101.3,155.1,74.3,89.1,54.8,38.1,98,41,82.9,113.6,64.8,148.6,115.9,187.1,76.2,134.4,101.3,163.5,161.2,213.7,119.4,114.2,192.1,102.1,186.1,186.6,181.5,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High",1,NA
